,,values
0,1996-11-07,-1.2251653232724822
0,1996-11-17,-1.8152101198451482
0,1996-11-27,-1.901363956475948
0,1996-12-07,-1.2599434405768548
0,1996-12-17,-1.3903509439607504
0,1996-12-27,-1.5686167247605811
0,1997-01-11,-1.5157011299860743
0,1997-01-21,-1.606625121148001
0,1997-01-31,-1.544237945596735
0,1997-02-10,-1.446906699051281
0,1997-02-20,-1.3932634619841509
0,1997-03-02,-0.9948226876258791
0,1997-03-12,-0.8457558319792302
0,1997-03-22,-1.1870682714026355
0,1997-04-01,-1.2007241520210359
0,1997-04-11,-1.2171295942031866
0,1997-04-21,-1.5320193374686022
0,1997-05-01,-1.8448540340263078
0,1997-05-11,-1.8891053772294997
0,1997-05-21,-1.4338814755038076
0,1997-05-31,-1.534362524388581
0,1997-06-10,-1.9335668024873807
0,1997-06-20,-2.319370384681673
0,1997-06-30,-0.9220271150032178
0,1997-07-10,-0.09903266613449196
0,1997-07-20,-0.2935325417310434
0,1997-07-30,-0.12954108428580816
0,1997-08-09,-0.10529648932892913
0,1997-08-19,-0.13882184790089636
0,1997-08-29,-0.15425965205142209
0,1997-09-08,0.5658746120971603
0,1997-09-18,0.3512027022611434
0,1997-09-28,-0.4716164485787018
0,1997-10-08,-0.11078796073340928
0,1997-10-18,-0.33472770675992575
0,1997-10-28,-0.552475440682501
0,1997-11-07,-1.0593751673557659
0,1997-11-17,-1.2321571994698755
0,1997-11-27,-1.3499730139059014
0,1997-12-07,-0.988982386640296
0,1997-12-17,-0.7466132577056617
0,1997-12-27,-0.608706268273572
0,1998-01-11,-0.928781707706377
0,1998-01-21,-1.0160114368391957
0,1998-01-31,-1.4647081954898205
0,1998-02-10,-1.6201964801341406
0,1998-02-20,-1.2084157011800025
0,1998-03-02,-1.063196422791196
0,1998-03-12,-0.9054530536191085
0,1998-03-22,-1.0735851899503899
0,1998-04-01,-0.5812078618792177
0,1998-04-11,0.10387474879235005
0,1998-04-21,0.06740536508385171
0,1998-05-01,-0.09697458088709206
0,1998-05-11,0.5734818481631515
0,1998-05-21,1.9610137850197846
0,1998-05-31,1.2533292731685812
0,1998-06-10,1.2175539889443376
0,1998-06-20,0.516759580021519
0,1998-06-30,0.6525768343641953
0,1998-07-10,0.6806113140561867
0,1998-07-20,-0.05152543490538074
0,1998-07-30,0.27716165346248767
0,1998-08-09,-0.838738284983552
0,1998-08-19,-1.0739377070430944
0,1998-08-29,-0.8298785737693064
0,1998-09-08,-0.47481266962869423
0,1998-09-18,-0.36385202310101844
0,1998-09-28,0.4168803224712708
0,1998-10-08,1.1880434742810777
0,1998-10-18,1.53510515147937
0,1998-10-28,1.2634615695696523
0,1998-11-07,0.8628740502971021
0,1998-11-17,0.35715700376720005
0,1998-11-27,0.9156447533875635
0,1998-12-07,1.01982817511677
0,1998-12-17,0.9460965139796794
0,1998-12-27,1.0034517367785831
0,1999-01-11,0.4520578488370095
0,1999-01-21,0.6580481756927077
0,1999-01-31,1.1181920664561835
0,1999-02-10,1.502341493275011
0,1999-02-20,1.1665739919585112
0,1999-03-02,1.2954382875010673
0,1999-03-12,1.193637147556511
0,1999-03-22,1.6392487986578526
0,1999-04-01,1.3999978959901527
0,1999-04-11,1.3337921063321918
0,1999-04-21,1.4101214798724098
0,1999-05-01,0.8595788067311595
0,1999-05-11,0.8555534870380482
0,1999-05-21,1.2660563959296969
0,1999-05-31,0.8054371863038827
0,1999-06-10,1.2251172614679264
0,1999-06-20,1.025168047731135
0,1999-06-30,1.569320224726083
0,1999-07-10,0.392186571410384
0,1999-07-20,0.7824583553111164
0,1999-07-30,0.3717404807905578
0,1999-08-09,0.313516163291691
0,1999-08-19,0.42803529549237074
0,1999-08-29,0.5226556842625207
0,1999-09-08,0.7571079909798566
0,1999-09-18,0.7919683492451558
0,1999-09-28,0.7894248567578007
0,1999-10-08,0.9908458561983499
0,1999-10-18,0.8835988830649446
0,1999-10-28,0.740779586091381
0,1999-11-07,0.8827055295612496
0,1999-11-17,1.2618850078778
0,1999-11-27,1.300486576970629
0,1999-12-07,1.3586253317747363
0,1999-12-17,1.9304331788222189
0,1999-12-27,1.1344171930295175
0,2000-01-11,1.6426029780853524
0,2000-01-21,1.958779153638806
0,2000-01-31,2.0117058687592415
0,2000-02-10,1.6926337441685981
0,2000-02-20,1.703530107187733
0,2000-03-02,1.71787052125297
0,2000-03-12,1.2952337263364027
0,2000-03-22,1.1773266965575426
0,2000-04-01,1.023205393728774
0,2000-04-11,1.110596701803835
0,2000-04-21,1.299259379713599
0,2000-05-01,1.9217267386499024
0,2000-05-11,1.9127837940458168
0,2000-05-21,1.3426878441387042
0,2000-05-31,0.4656905480243044
0,2000-06-10,1.01396517319103
0,2000-06-20,0.8188335726015044
0,2000-06-30,0.35791583477330174
0,2000-07-10,0.5854952687682048
0,2000-07-20,0.06527997352139768
0,2000-07-30,-0.056870987769160664
0,2000-08-09,0.33782146659271217
0,2000-08-19,0.5629489579877323
0,2000-08-29,0.7051783443597701
0,2000-09-08,0.7112823159756277
0,2000-09-18,0.1919091935599515
0,2000-09-28,-0.7092850727803643
0,2000-10-08,-0.3793778058667015
0,2000-10-18,0.3596914413204095
0,2000-10-28,0.7487550758261109
0,2000-11-07,0.8031089640336342
0,2000-11-17,0.6790074553522701
0,2000-11-27,0.7548395452861493
0,2000-12-07,0.6843657580964461
0,2000-12-17,0.646715168068441
0,2000-12-27,0.16643919485905748
0,2001-01-11,0.16764419299797173
0,2001-01-21,0.3013990071831415
0,2001-01-31,0.8029526864317944
0,2001-02-10,0.5927555188861748
0,2001-02-20,0.8859639079952263
0,2001-03-02,1.073402282785321
0,2001-03-12,0.9449379910192096
0,2001-03-22,0.8026532104059123
0,2001-04-01,0.7971171032525056
0,2001-04-11,0.7367022235062703
0,2001-04-21,0.8555882412242009
0,2001-05-01,0.9894400603628766
0,2001-05-11,1.2800357267977893
0,2001-05-21,0.9565243044477005
0,2001-05-31,0.9571137238509169
0,2001-06-10,1.2217691379749442
0,2001-06-20,1.096749566943609
0,2001-06-30,1.456736011305171
0,2001-07-10,0.2336237883329234
0,2001-07-20,0.7781563205392149
0,2001-07-30,0.9752442408641803
0,2001-08-09,0.611893150089921
0,2001-08-19,0.7058660077841622
0,2001-08-29,0.482922317642082
0,2001-09-08,0.4861876816384296
0,2001-09-18,0.6908830150906812
0,2001-09-28,1.1507536193214383
0,2001-10-08,1.0660554519503511
0,2001-10-18,1.1156724146374497
0,2001-10-28,1.3232386707191048
0,2001-11-07,1.212118738393798
0,2001-11-17,1.2301497225052132
0,2001-11-27,0.8357586406609584
0,2001-12-07,1.0042112901717726
0,2001-12-17,1.3688349592371607
0,2001-12-27,0.8347895341567275
0,2002-01-11,-0.2535336001257562
0,2002-01-21,0.22611432870098602
0,2002-01-31,0.7788231140774095
0,2002-02-10,1.000074658397296
0,2002-02-20,0.9138552641981704
0,2002-03-02,0.6459045242733955
0,2002-03-12,0.7217342078396941
0,2002-03-22,0.9278821246265188
0,2002-04-01,0.13188159908029717
0,2002-04-11,-0.0023745702637517365
0,2002-04-21,-0.3700474059455583
0,2002-05-01,-0.23011031226558556
0,2002-05-11,-0.3310902911229979
0,2002-05-21,0.11728294507554092
0,2002-05-31,-0.34618984983319906
0,2002-06-10,-0.6223844882634886
0,2002-06-20,0.05383068421244271
0,2002-06-30,0.27718054084531374
0,2002-07-10,0.9137770387360028
0,2002-07-20,0.3780872502797359
0,2002-07-30,0.9591173113060036
0,2002-08-09,0.9643346467422058
0,2002-08-19,0.6395855588406674
0,2002-08-29,0.6506968782096326
0,2002-09-08,0.6707123592577655
0,2002-09-18,0.6617185816991991
0,2002-09-28,-0.7220171517186035
0,2002-10-08,-0.4733958517074174
0,2002-10-18,-0.6392695910414616
0,2002-10-28,-1.0477617911971273
0,2002-11-07,-1.3019602277661495
0,2002-11-17,-1.063850800416214
0,2002-11-27,-1.4318241327360997
0,2002-12-07,-1.7082911202030004
0,2002-12-17,-1.0855421094180777
0,2002-12-27,-0.6414907008784543
0,2003-01-11,-1.1780434693759678
0,2003-01-21,-1.2023917259881127
0,2003-01-31,-0.8980041974565008
0,2003-02-10,-1.0890494856150468
0,2003-02-20,-0.9895734802769213
0,2003-03-02,-0.9309818529355214
